subject,label,label_name,channel,power_v2,n_30s_segments
10,3,Fatigue3,Oz,2.2212591972807284e-10,9
10,3,Fatigue3,O2,2.388686916007319e-10,9
10,3,Fatigue3,P4,1.3466427834419275e-10,9
10,3,Fatigue3,P8,1.9606133230106845e-10,9
10,3,Fatigue3,TP10,2.1060833096509177e-10,9
10,3,Fatigue3,CP6,1.325099039600749e-10,9
10,3,Fatigue3,CP2,5.735877556802613e-11,9
10,3,Fatigue3,Cz,1.879309943552412e-11,9
10,3,Fatigue3,C4,6.351163352846246e-11,9
10,3,Fatigue3,T8,1.4025932655004008e-10,9
10,3,Fatigue3,FT10,1.7763402385483364e-10,9
10,3,Fatigue3,FC6,8.851904925321904e-11,9
10,3,Fatigue3,FC2,1.5846063080144202e-11,9
10,3,Fatigue3,F4,4.9180835120093244e-11,9
10,3,Fatigue3,F8,1.1856067757418936e-10,9
10,3,Fatigue3,Fp2,9.614166020811027e-11,9
10,4,Fatigue4,Fp1,2.1560036895275088e-10,10
10,4,Fatigue4,Fz,2.3660691912945775e-11,10
10,4,Fatigue4,F3,9.971816442883193e-11,10
10,4,Fatigue4,F7,2.557983323710932e-10,10
10,4,Fatigue4,FT9,3.461280694129303e-10,10
10,4,Fatigue4,FC5,1.6770997291788584e-10,10
10,4,Fatigue4,FC1,1.783598801760448e-11,10
10,4,Fatigue4,C3,9.341696878500764e-11,10
10,4,Fatigue4,T7,2.873984042592282e-10,10
10,4,Fatigue4,TP9,3.9903491109188784e-10,10
10,4,Fatigue4,CP5,2.112063350706133e-10,10
10,4,Fatigue4,CP1,8.778449281608692e-11,10
10,4,Fatigue4,Pz,1.7559583277782842e-10,10
10,4,Fatigue4,P3,2.1539635853884192e-10,10
10,4,Fatigue4,P7,3.6981614622903195e-10,10
10,4,Fatigue4,O1,3.942052024475599e-10,10
10,4,Fatigue4,Oz,3.9252845692941277e-10,10
10,4,Fatigue4,O2,3.899465527429781e-10,10
10,4,Fatigue4,P4,2.3591990785191955e-10,10
10,4,Fatigue4,P8,3.687512559469579e-10,10
10,4,Fatigue4,TP10,4.014628009668458e-10,10
10,4,Fatigue4,CP6,2.336601804450971e-10,10
10,4,Fatigue4,CP2,8.871866557239516e-11,10
10,4,Fatigue4,Cz,2.8220048624057333e-11,10
10,4,Fatigue4,C4,9.759475370965654e-11,10
10,4,Fatigue4,T8,2.5040727377986556e-10,10
10,4,Fatigue4,FT10,3.365665729083723e-10,10
10,4,Fatigue4,FC6,1.5365599593749906e-10,10
10,4,Fatigue4,FC2,2.3687124527452252e-11,10
10,4,Fatigue4,F4,9.206297535904327e-11,10
10,4,Fatigue4,F8,2.2255176722221596e-10,10
10,4,Fatigue4,Fp2,2.0405016326273102e-10,10
