subject,label,label_name,normalized_118min_seconds
33,9,Severe Artifacts,0
34,0,Wakefulness,6142
34,1,Fatigue1,654
34,2,Fatigue2,72
34,3,Fatigue3,212
34,4,Fatigue4,0
34,8,Signal Abnormality,0
34,9,Severe Artifacts,0
35,0,Wakefulness,2290
35,1,Fatigue1,4539
35,2,Fatigue2,251
35,3,Fatigue3,0
35,4,Fatigue4,0
35,8,Signal Abnormality,0
35,9,Severe Artifacts,0
36,0,Wakefulness,5674
36,1,Fatigue1,1406
36,2,Fatigue2,0
36,3,Fatigue3,0
36,4,Fatigue4,0
36,8,Signal Abnormality,0
36,9,Severe Artifacts,0
37,0,Wakefulness,6680
37,1,Fatigue1,400
37,2,Fatigue2,0
37,3,Fatigue3,0
37,4,Fatigue4,0
37,8,Signal Abnormality,0
37,9,Severe Artifacts,0
38,0,Wakefulness,7080
38,1,Fatigue1,0
38,2,Fatigue2,0
38,3,Fatigue3,0
38,4,Fatigue4,0
38,8,Signal Abnormality,0
38,9,Severe Artifacts,0
39,0,Wakefulness,6903
39,1,Fatigue1,177
39,2,Fatigue2,0
39,3,Fatigue3,0
39,4,Fatigue4,0
39,8,Signal Abnormality,0
39,9,Severe Artifacts,0
40,0,Wakefulness,4083
40,1,Fatigue1,2772
40,2,Fatigue2,225
40,3,Fatigue3,0
40,4,Fatigue4,0
40,8,Signal Abnormality,0
40,9,Severe Artifacts,0
41,0,Wakefulness,5143
41,1,Fatigue1,1937
41,2,Fatigue2,0
41,3,Fatigue3,0
41,4,Fatigue4,0
41,8,Signal Abnormality,0
41,9,Severe Artifacts,0
42,0,Wakefulness,5314
42,1,Fatigue1,0
42,2,Fatigue2,0
42,3,Fatigue3,0
42,4,Fatigue4,0
42,8,Signal Abnormality,0
42,9,Severe Artifacts,0
43,0,Wakefulness,4371
43,1,Fatigue1,2243
43,2,Fatigue2,466
43,3,Fatigue3,0
43,4,Fatigue4,0
43,8,Signal Abnormality,0
43,9,Severe Artifacts,0
44,0,Wakefulness,5737
44,1,Fatigue1,1282
44,2,Fatigue2,61
44,3,Fatigue3,0
44,4,Fatigue4,0
44,8,Signal Abnormality,0
44,9,Severe Artifacts,0
45,0,Wakefulness,4926
45,1,Fatigue1,1818
45,2,Fatigue2,75
45,3,Fatigue3,226
45,4,Fatigue4,0
45,8,Signal Abnormality,0
45,9,Severe Artifacts,35
46,0,Wakefulness,4901
46,1,Fatigue1,2179
46,2,Fatigue2,0
46,3,Fatigue3,0
46,4,Fatigue4,0
46,8,Signal Abnormality,0
46,9,Severe Artifacts,0
47,0,Wakefulness,3706
47,1,Fatigue1,261
47,2,Fatigue2,0
47,3,Fatigue3,0
47,4,Fatigue4,0
47,8,Signal Abnormality,0
47,9,Severe Artifacts,3113
48,0,Wakefulness,5620
48,1,Fatigue1,1460
48,2,Fatigue2,0
48,3,Fatigue3,0
48,4,Fatigue4,0
48,8,Signal Abnormality,0
48,9,Severe Artifacts,0
49,0,Wakefulness,7080
49,1,Fatigue1,0
49,2,Fatigue2,0
49,3,Fatigue3,0
49,4,Fatigue4,0
49,8,Signal Abnormality,0
49,9,Severe Artifacts,0
50,0,Wakefulness,6364
50,1,Fatigue1,716
50,2,Fatigue2,0
50,3,Fatigue3,0
50,4,Fatigue4,0
50,8,Signal Abnormality,0
50,9,Severe Artifacts,0
